"Avance de siembras y cosechas",,,,,
,,,,,
"PRIMAVERA-VERANO",,,,,
"2007",,,,,
"RIEGO+TEMPORAL",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Situación al 31 de ENERO de 2008","Situación al 31 de ENERO de 2008",,,,
"Producto","sembrada","siniestrada","cosechada","obtenida","obtenido"
"AVENA FORRAJERA EN VERDE","1,622","796","826","5,234","6.337"
"BROCOLI","268","","268","3,656","13.642"
"CALABACITA","179","","179","4,380","24.469"
"CEBOLLA","136","","136","2,812","20.676"
"CHILE VERDE","874","15","859","8,736","10.170"
"COLIFLOR","120","","120","3,191","26.592"
"FRESA","21","","21","243","11.576"
"FRIJOL","10,738","7,049","3,689","2,777","0.753"
"LECHUGA","294","1","293","11,241","38.365"
"MAIZ FORRAJERO EN VERDE","52,186","10,186","41,900","928,692","22.165"
"MAIZ GRANO","49,905","28,122","21,198","46,705","2.203"
"PAPA","11","","11","312","28.364"
"PEPINO","104","1","103","3,161","30.689"
"SANDIA","1","","1","30","30.000"
"SORGO FORRAJERO EN VERDE","1,167","64","1,104","20,823","18.870"
"SORGO GRANO","41","5","36","252","7.000"
"TOMATE ROJO (JITOMATE)","329","18","311","8,055","25.900"
"TOMATE VERDE","432","33","399","8,571","21.481"
"ZANAHORIA","81","","81","1,582","19.531"
"TOTAL","118,509","46,290","71,534","",""
"Datos Preliminares.Fuente: Elaborado por el Servicio de Información Agroalimentaria y Pesquera (SIAP), con información de las Delegaciones de la SAGARPA.",,,,,
